fecha,SP74663,SF4782
01/03/2012,-0.5500,39521.24
01/04/2012,-1.8400,39461.00
01/05/2012,-2.2600,37872.95
01/06/2012,1.3000,40199.55
01/07/2012,1.4100,40704.28
01/08/2012,0.5500,39421.65
01/09/2012,1.3200,40866.96
01/10/2012,1.4200,41619.96
01/11/2012,2.7300,41833.52
01/12/2012,0.5800,43705.83
01/01/2013,0.3300,45278.06
01/02/2013,0.4400,44120.99
01/03/2013,2.1100,44077.09
01/04/2013,0.0000,42263.48
01/05/2013,-2.0500,41588.32
01/06/2013,-0.6900,40623.30
01/07/2013,-0.2600,40837.88
01/08/2013,0.9400,39492.37
01/09/2013,0.5500,40185.23
01/10/2013,1.4100,41038.65
01/11/2013,3.5400,42499.13
01/12/2013,1.3500,42727.09
01/01/2014,1.0200,40879.75
01/02/2014,0.1700,38782.89
01/03/2014,0.4600,40461.60
01/04/2014,-1.6700,40711.56
01/05/2014,-1.6400,41362.51
01/06/2014,0.0400,42737.17
01/07/2014,0.5600,43817.69
01/08/2014,0.8300,45628.09
01/09/2014,0.9200,44985.66
01/10/2014,1.7900,45027.52
01/11/2014,2.8300,44190.47
01/12/2014,1.2800,43145.66
01/01/2015,-0.2700,40950.58
01/02/2015,-0.2700,44190.17
01/03/2015,0.8500,43724.78
01/04/2015,-1.5100,44582.39
01/05/2015,-2.4000,44703.62
01/06/2015,0.0400,45053.70
01/07/2015,0.0700,44752.93
01/08/2015,0.2400,43721.96
01/09/2015,0.3900,42632.54
01/10/2015,1.3500,44542.76
01/11/2015,2.1500,43418.55
01/12/2015,0.7200,42977.50
01/01/2016,0.9600,43630.77
01/02/2016,0.6800,43714.93
01/03/2016,-0.4900,45881.08
01/04/2016,-1.9600,45784.77
01/05/2016,-2.5100,45459.45
01/06/2016,-0.3500,45966.49
01/07/2016,0.5500,46660.67
01/08/2016,0.5800,47541.32
01/09/2016,1.0400,47245.80
01/10/2016,1.6500,48009.28
01/11/2016,2.5400,45285.50
01/12/2016,0.5100,45642.90
01/01/2017,5.1400,47001.06
01/02/2017,0.0300,46856.79
01/03/2017,0.7300,48541.56
01/04/2017,-0.8400,49261.33
01/05/2017,-1.3000,48788.44
01/06/2017,0.0900,49857.49
01/07/2017,0.7200,51011.87
01/08/2017,1.2200,51210.48
01/09/2017,0.4100,50346.06
01/10/2017,1.7600,48625.53
01/11/2017,3.0600,47092.44
01/12/2017,1.0900,49354.42
01/01/2018,1.2400,50456.17
01/02/2018,0.0800,47437.93
01/03/2018,0.3000,46124.85
01/04/2018,-1.7200,48358.16
01/05/2018,-1.3800,44662.55
01/06/2018,0.8400,47663.20
01/07/2018,1.2700,49698.01
01/08/2018,1.6100,49547.68
01/09/2018,0.7300,49504.16
01/10/2018,1.1500,43942.55
01/11/2018,2.6600,41732.78
01/12/2018,1.3900,41640.27
01/01/2019,-0.2500,43987.94
01/02/2019,-1.3800,42823.81
01/03/2019,0.5100,43281.28
01/04/2019,-1.1500,44597.32
01/05/2019,-1.6600,42749.16
01/06/2019,-0.6800,43161.17
01/07/2019,0.7400,40863.09
01/08/2019,-0.7000,42622.50
01/09/2019,0.1500,43011.27
01/10/2019,1.4600,43337.28
01/11/2019,2.6200,42820.18
01/12/2019,1.0000,43541.02
01/01/2020,0.9600,44108.31
01/02/2020,0.5700,41324.31
01/03/2020,-1.0600,34554.53
01/04/2020,-5.1700,36470.11
01/05/2020,0.6600,36122.73
01/06/2020,1.1200,37716.43
01/07/2020,1.4800,37019.68
01/08/2020,0.6300,36840.73
01/09/2020,-0.0400,37458.69
01/10/2020,1.7700,36987.86
01/11/2020,0.5600,41778.87
01/12/2020,-0.1300,44066.88
01/01/2021,2.4000,42985.73
01/02/2021,1.3600,44592.91
01/03/2021,1.6900,47246.26
01/04/2021,0.2100,48009.72
01/05/2021,-0.7500,50885.95
01/06/2021,0.4200,50289.75
01/07/2021,0.9300,50868.32
01/08/2021,-0.5200,53304.74
01/09/2021,1.1000,51385.55
01/10/2021,1.8700,51309.84
01/11/2021,3.4500,49698.72
01/12/2021,-0.9000,53272.44
01/01/2022,0.5200,51330.85
01/02/2022,1.0400,53400.61
01/03/2022,1.7900,56536.68
01/04/2022,-0.1400,51417.97
01/05/2022,-1.0200,51752.53
01/06/2022,1.0700,47524.45
01/07/2022,1.0900,48144.33
01/08/2022,0.3900,44919.22
01/09/2022,0.4700,44626.80
01/10/2022,0.3800,49922.30
01/11/2022,0.9400,51684.86
01/12/2022,-0.4000,48463.86
01/01/2023,0.5700,54564.27
01/02/2023,0.4000,52758.06
01/03/2023,-0.5000,53904.00
01/04/2023,-1.2500,55121.22
01/05/2023,-1.8800,52736.26
01/06/2023,-0.5200,53526.10
01/07/2023,0.7700,54819.05
01/08/2023,1.4400,53020.98
01/09/2023,0.7000,50874.98
01/10/2023,0.3400,49061.88
01/11/2023,1.8100,54060.01
01/12/2023,1.5300,57386.25
01/01/2024,2.3700,57372.76
01/02/2024,-1.1000,55414.00
