fecha,SR17536,SR17537,SR17538,SR17539,SR17540,737219,737226,737233,737268,SR16967,444884,SL136,SL137,SL138,SL11136,SL11138,SL11139,SL2830,SL5114,SL11439,SL11453,SL11432,SL11426,SR17449,SR17450,SR17451,SR17452,SR17453,SR16882,SR16894,SR16906,SR16918,SR2761,SR2768,SR2775,SR2782,SF311408,SF311418,SF311433,SF311438,SF29652,SF282,SF57805,SF57771,SF57923,SF229267,SR28,SP12754,SP12755,SP12753,673095,673096,673097,673098,673099,673100,SP1,SP74625,SP74626,SP66540,SP74627,SP74628,SP66542,SP56339,SP74629,SP74630,SP56337,SP56385,SP56386,SP74631,SP56373,SP74640,SF117754,SF4782,SF4774,SF4801
2013-03-01,94.3008,128.874,86.4722,94.5487,88.1816,89.557556393813,81.559171395638,94.300824687743,87.290889560644,,5.064215254494,606.389404369038,156564.416193717,4.41429475945457,4.58070726752825,24562.3527876501,88189.6476239526,4.57733094035898,92693.1226145547,95.1677221901137,77.3711597390501,89.3438171351339,72.3769000093592,90.53,90.3,95.0,84.69,81.17,,,,,52.7957917326526,53.9211747069624,54.302713506622,52.6809613312422,2171288837.16054,5329908828.84892,6069860495.2161,8025868091.46519,797626.311797989,3.98,12.3612,12.15848,15.78525,,76.0178,135.954232901692,227.503609085423,59.7513221331164,76.4404177165283,78.2591905536087,75.4418139755051,73.3244415781946,76.5096858171017,81.7171679299166,81.3138315554803,83.9522871246515,81.9630497313075,79.0689945067203,84.3824911468357,85.7513611974613,88.3335442184443,80.3803591784761,84.7790789797266,73.6188202558524,77.6843221751756,75.326485097346,78.2294220003422,71.374077592085,68.5347344379065,76.89087675947,5039885018.96839,43571.9106355236,6941005826.26316,244290143.826617
2013-04-01,92.8101,128.1561,86.7136,90.1695,87.8976,89.139894799964,87.831571143538,92.81008773321,87.02317721181,,5.123451297363,663.20193900241,175012.490942914,4.39534807092604,4.5242913746563,62487.2102948807,114483.065832915,4.59941192863331,106738.067311744,96.6457033367468,78.5505746556117,90.7109591038697,73.8816137177081,90.19,89.78,94.43,84.22,82.26,,,,,54.7001507312704,49.2994829610747,53.2464150462175,45.9797449341337,2164400071.62147,5313779162.24551,5977735901.46946,8053115984.67235,768468.552121648,3.82,12.1456,12.07637,16.01397,,73.7574,133.947460281839,226.482952874341,59.1235643635877,76.4448183612707,77.967692204275,76.0644213235284,73.1272401685971,75.812126855394,81.9310341376005,81.6847418195871,84.1144676673486,82.0976209788049,79.28968319165,84.4365794145539,85.9335977317707,88.4737769460155,80.6680566783291,84.9818593484106,74.8865171960923,78.913470392266,78.2819131777432,79.2425667880771,72.3187959934824,69.1627206690716,79.1456558558423,5195119292.10159,42287.0657345965,6883910299.22858,274845672.458142
2013-05-01,94.9046,127.8331,88.719,95.2407,89.0513,89.955955721924,86.920608522503,94.90455320855,87.277099270799,,4.970385991456,624.263643531874,179083.656705029,4.49780963512618,4.49971977452379,65522.6660029085,87195.122986643,4.59330330514411,113777.748908967,95.3315479533483,77.872715607061,89.134120234142,72.834788678291,90.89,90.65,95.2,85.8,82.52,,,,,51.7545810765931,50.7078134232937,54.1090275000028,50.3147503551981,2195963911.72161,5355486291.79431,6085675534.32982,8104374863.94284,775345.776242179,3.72,12.8035,12.38867,16.59334,,73.781,134.291557161024,226.622230455858,59.2182161610763,76.471774187061,77.9044019459154,77.0957842844155,73.1447915734299,75.7185742841477,82.0438795364592,82.0171490351399,84.3299729539969,82.2756728053913,79.5851118288808,84.5572566181482,86.1271812032902,88.6455998332297,80.9573498013096,85.1685250566588,75.3820203283396,79.2558436168049,77.3715900278751,80.5381353252014,73.0232403229647,69.9136045283186,79.3495635479763,5051382305.05864,41968.0379191455,6835533269.59786,276601906.3838
2013-06-01,93.9058,127.3584,87.9011,90.9665,88.6981,89.619818759364,89.119218256973,93.905787248193,87.118460423583,,5.077711121368,481.991798084083,169678.606790726,4.4685988840162,4.45120556246352,55016.4261959228,99354.6934799368,4.64199525276285,101330.285438566,94.138552038606,77.0969717466689,90.4553144698869,74.0630794918448,90.68,90.39,95.04,85.12,82.01,,,,,50.6726502706039,50.8269149680871,52.9622833250497,50.1606424992375,2222461427.572,5466315499.96479,6139376359.93027,8063538684.38182,783226.374894122,3.78,13.0279,12.35045,16.93627,,78.8224,131.448438554003,226.085952562871,58.0427096170367,76.8659536183409,78.366184452666,74.2032282903813,73.797886744953,76.5077017255416,82.2449068477874,82.080019986984,84.4797010494497,82.3660642056327,79.7017124856136,84.6368656031038,86.348837259662,88.8557245587789,81.2630919418928,85.4079109819938,75.1579157416578,77.6891468203129,73.7939532412544,80.7773430589754,73.6041338002554,70.5811079663438,79.9659825946069,4958344455.57266,40754.7773863008,6683961254.35326,486366771.926698
2013-07-01,94.1233,127.658,88.6062,91.7207,88.807,89.719683029249,89.141300896737,94.123305449415,87.179069348929,,4.905638295877,882.973707692733,207274.00871467,4.00391209804945,4.52173233912025,56033.2729604494,954492.006851702,4.43455944662977,101853.000050141,97.6476877850265,79.9994031643479,90.4462289549244,74.1408858142031,91.22,90.7,94.97,85.62,83.24,,,,,51.6757104912474,51.1598851385455,52.2186329954515,50.9320577432773,2236942689.17252,5525120866.75105,6188062566.32098,8105838760.49211,779740.192195689,3.85,12.8464,12.49569,17.05873,2.09525,75.9784,131.767863582395,227.469877380033,57.9840626737844,76.5811589881776,78.2861045842327,72.4191320570756,73.4730582009879,76.5050388101911,82.409532186853,82.0850228774019,84.5610228142342,82.4373704636974,79.8496836151506,84.6519421245328,86.4065916463416,89.0297581523006,81.5642693251714,85.2644092636383,74.9168246047725,76.474817956515,69.3436019481542,80.3593132204001,74.0167420211074,70.979552344975,80.3121557638705,4911305025.97127,40701.5171411605,6638130857.28795,255865660.99004
2013-08-01,94.9568,127.8059,88.6686,93.0852,89.3632,90.221043662788,86.878704845472,94.956765769851,87.83513260367,,4.8293250111,839.577718785726,110938.234121288,4.33397535891519,4.54802044626095,56672.489035873,49066.8964720847,4.44907387288891,98969.0123890667,96.5045544313008,79.2111768804642,91.6573721024148,75.2382047872574,91.12,91.05,95.75,85.86,80.04,,,,,52.212037635221,50.8461470365293,53.0137138400693,49.9009811507211,2271826991.40899,5572515445.92095,6285761663.98273,8209005157.9176,792513.463970799,3.84,13.3415,12.64908,17.59077,2.18134,76.9394,132.280486287129,225.885366592068,58.4375718764796,76.6593384458676,78.4492181241602,72.7546461759282,73.4484988902614,76.5637823714254,82.5625512974166,82.3173001622022,84.6898041726156,82.5894401052915,80.0733646282002,84.7630526104035,86.508453515012,89.2285154615304,81.9853620018129,85.1807891097942,75.4852656158749,77.2066707278859,73.1015059205326,79.9027195677402,74.4655261532316,71.4367675795478,80.6417434089694,4989500993.56031,39942.6137175919,6523388910.76217,268204712.493088
2013-09-01,94.0949,127.6079,87.965,92.5161,88.3185,90.145410001955,87.274413001318,94.094924296739,87.903313147293,,4.989375457732,633.784028105417,176039.174537356,4.34120132613349,4.95822111401503,62194.9715120655,103780.358860627,4.45514391442378,117666.553993016,94.8141464896025,78.0585373997284,91.6563943808196,75.4269714554149,90.6,90.22,93.61,86.16,83.08,,,,,51.299815928449,50.1541779581653,52.0935519419539,49.6960898900891,2289125109.28741,5598809012.55455,6345151925.81176,8293445433.224,802623.424423973,3.64,13.1747,12.81767,17.83196,2.15406,78.1364,131.38857611141,226.842501317352,57.8432140579134,76.8544731054711,78.5886142768271,71.5607544289148,73.7568334455973,76.7990493340827,82.7918045842986,82.5105943143198,84.8942641250603,82.8711268007083,80.3013333162951,85.0638049712003,86.7172865678947,89.3532095364738,82.1371492376935,85.4787985036874,75.6110369772692,76.9752396224224,73.0838186013851,79.597716056452,74.9052761488746,71.9327433650202,80.8605723114912,5044268247.71421,40396.1502053779,6617224335.71903,221104561.486924
2013-10-01,94.7173,129.0345,88.2578,93.9,89.2047,90.36836296152,93.125798386042,94.717310528508,87.682244867209,,4.892257432454,588.457851577932,172834.600730891,4.48344106623809,4.59023682768618,48764.8482450304,105023.586759104,4.4742979545286,96871.1790711992,97.4081704186682,80.389254480818,92.1756369378801,76.1061354535364,90.99,90.75,94.75,86.04,81.79,,,,,52.9442666211662,50.5854890172127,50.9663032072728,49.3905586632326,2261416365.06876,5629347290.45225,6410845314.5595,8402882640.74067,806600.977811796,3.39,13.0067,12.45782,17.71252,2.1357,78.1671,130.153742656232,226.846379313292,57.306215508652,77.003488031737,78.5754516016486,72.148952821788,73.7828271313039,76.5550716682024,83.0917980560001,82.7143144613013,85.0863780764069,82.9351061132662,80.521716751901,85.0782024869295,86.9816250503387,89.5105420478399,82.4340334049606,85.7909355233378,75.8402867109302,76.8268660533001,73.6139204132982,78.9339502267117,75.2213319008185,72.238585131374,81.0767499178451,5131348027.74131,40639.3452188011,6746748120.65506,218908937.493742
2013-11-01,94.8184,129.8864,89.1078,93.4655,88.9302,90.21508102364,88.121151238716,94.818438522833,87.815652206236,,4.636430144908,637.680660888306,156835.080099373,4.20025476041639,4.43678539792673,54461.7663529832,94810.4479561859,4.35639365839046,84832.7256512959,95.866468860645,79.4562833347411,92.5278347011612,76.6174277693867,90.92,91.0,94.92,86.22,79.64,,,,,51.6499586495912,51.3051481532499,53.6843151596909,50.0399168413391,2344622360.70192,5723405617.749,6540936222.70558,8532367129.76234,830874.806697402,3.39,13.1101,12.3838,17.8494,2.15399,77.1027,130.564530610281,227.237534843433,57.3813877744522,77.1624486062339,78.534366289399,72.9443487812521,73.7767308988409,76.253086450476,83.2959083077994,83.0353902408675,85.2923972006093,82.9838985061188,80.574335439715,85.0723952331404,87.2548791519973,89.6756496552041,82.7284772016909,86.0121963226822,76.6214744760979,78.6334744813187,77.6361767204145,79.0973702610232,75.4258751513499,72.5510091664159,81.2710780374417,5168636885.65969,42371.6168043037,6922062768.90992,209183508.525868
2013-12-01,95.0635,130.3548,88.5523,94.8257,88.5987,90.702278384903,88.194435259411,95.063503172654,88.397481169807,,4.746450139995,768.841164368011,199259.552272442,4.16482940858186,4.56918742186849,65999.3860229809,93862.8240979884,4.24484456466232,123161.170012102,95.8025063300382,79.727369899702,90.9837233065044,75.5517744553815,91.83,91.85,95.8,87.25,80.66,,,,,51.0067688507865,51.2199526029755,53.160898172518,50.8206687779372,2361976476.10926,5764353632.34632,6521442840.49277,8550768160.55847,838249.877795566,3.29,13.0843,12.31494,18.03017,2.15891,76.4084,131.520669629705,227.921750698667,57.7341599867909,77.3545428802763,78.8970482544711,73.6984706732154,73.8194611879425,76.7181161938427,83.4420591297334,83.3703708067544,85.4954606353937,83.204827895852,80.72440449473,85.4220137967622,87.4284386568333,89.8291029802265,83.0165128596571,86.1680936165959,77.1802454948354,78.5973212486313,77.0735039446912,79.565027933581,76.2708547523788,73.0989671007218,82.7591314838756,5267634659.50768,42619.3053316698,6960067903.24702,241895571.220312
